Nombre,Direccion,Latitud,Longitud
pozuelo-de-alarcon,"Pozuelo de Alarcón, Comunidad de Madrid, España",40.4346528,-3.814834
pozuelo-del-rey,"Pozuelo del Rey, Comunidad de Madrid, España",40.3664055,-3.3200082
pradena-del-rincon,"Prádena del Rincón, Comunidad de Madrid, España",41.0443369,-3.5402284
puebla-de-la-sierra,"Puebla de la Sierra, Comunidad de Madrid, España",41.0121247,-3.4444367
puentes-viejas-manjiron,"Manjirón, Puentes Viejas, Comunidad de Madrid, 28754, España",40.9654041,-3.5828764
quijorna,"Quijorna, Comunidad de Madrid, 28693, España",40.4290833,-4.0565378
rascafria,"Rascafría, Comunidad de Madrid, España",40.9038871,-3.8802853
reduena,"Redueña, Comunidad de Madrid, 28721, España",40.8158054,-3.6039309
ribatejada,"Ribatejada, Comunidad de Madrid, 28815, España",40.6664949,-3.3919178
rivas-vaciamadrid,"Rivas-Vaciamadrid, Comunidad de Madrid, España",40.3536054,-3.5310879
robledillo-de-la-jara,"Robledillo de la Jara, Comunidad de Madrid, 28194, España",40.9529148,-3.5250504
robledo-de-chavela,"Robledo de Chavela, Comunidad de Madrid, 28294, España",40.5009201,-4.2380999
robregordo,"Robregordo, Comunidad de Madrid, España",41.1064517,-3.5937466
rozas-de-madrid-las,"Las Rozas de Madrid, Comunidad de Madrid, España",40.4933095,-3.8758396
rozas-de-puerto-real,"Rozas de Puerto Real, Comunidad de Madrid, 28649, España",40.3098351,-4.4912111
san-agustin-del-guadalix,"San Agustín del Guadalix, Comunidad de Madrid, 28750, España",40.679051,-3.6166004
san-fernando-de-henares,"San Fernando de Henares, Comunidad de Madrid, 28830, España",40.4248548,-3.5350369
san-lorenzo-de-el-escorial,"San Lorenzo de El Escorial, Comunidad de Madrid, España",40.5926673,-4.1471642
san-martin-de-la-vega,"San Martín de la Vega, Comunidad de Madrid, 28330, España",40.2110462,-3.5771806
san-martin-de-valdeiglesias,"San Martín de Valdeiglesias, Comunidad de Madrid, 28680, España",40.3625,-4.3986503
san-sebastian-de-los-reyes,"San Sebastián de los Reyes, Comunidad de Madrid, España",40.5473698,-3.6260586
santa-maria-de-la-alameda,"Santa María de la Alameda, Comunidad de Madrid, 28297, España",40.5958248,-4.2579208
